observationID,year,month,day,countryCode,locality,taxonID,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,taxonRank,species,level0Gid,level0Name,level1Gid,level1Name,level2Gid,level2Name,ImageUniqueID,Substrate,rightsHolder,Latitude,Longitude,CoorUncert,Habitat,image_path,class_id,MetaSubstrate,poisonous
2238356672,2013.0,10.0,16.0,DK,Tybjerg Skov,17242.0,Mycena inclinata (Fr.) Quél.,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,inclinata,SPECIES,Mycena inclinata,DNK,Denmark,DNK.4_1,Sjælland,DNK.4.9_1,Næstved,2238356672-310751,,Regin Rønn,55.34367,11.77138,50.0,Deciduous woodland,2238356672-310751.JPG,976,wood,0
2238190315,2012.0,11.0,1.0,DK,Hjortshøj By,16726.0,"Rhizomarasmius setosus (Sowerby) Antonín & A.Urb., 2015",Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Rhizomarasmius,setosus,SPECIES,Rhizomarasmius setosus,DNK,Denmark,DNK.2_1,Midtjylland,DNK.2.1_1,Århus,2238190315-157786,leaf or needle litter,Rasmus Ejrnæs,56.24781,10.27278,10.0,Willow scrubland,2238190315-157786.JPG,1294,plant material,0
2238533344,2017.0,12.0,27.0,DK,Hemstok Skov,40985.0,Byssomerulius corium (Pers.) Parmasto,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaetaceae,Byssomerulius,corium,SPECIES,Byssomerulius corium,DNK,Denmark,DNK.2_1,Midtjylland,DNK.2.15_1,Skanderborg,2238533344-102616,dead wood (including bark),Uffe Nygaard,56.09840500000001,9.866452,15.0,Mixed woodland (with coniferous and deciduous trees),2238533344-102616.JPG,124,wood,0
2238134851,2012.0,1.0,13.0,DK,Hejede Overdrev,12750.0,Craterellus cornucopioides (L.) Pers.,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Cantharellaceae,Craterellus,cornucopioides,SPECIES,Craterellus cornucopioides,DNK,Denmark,DNK.4_1,Sjælland,DNK.4.7_1,Lejre,2238134851-229189,soil,Bjørn W. Pedersen,55.56131,11.8998,100.0,Deciduous woodland,2238134851-229189.JPG,343,jord,0
2575119733,2020.0,2.0,5.0,DK,Rønnebækholm,20983.0,Trametes versicolor (L.) Lloyd,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trametes,versicolor,SPECIES,Trametes versicolor,DNK,Denmark,DNK.4_1,Sjælland,DNK.4.9_1,Næstved,2575119733-55268,dead wood (including bark),Frede Scheye,55.217392,11.796253,15.0,Mixed woodland (with coniferous and deciduous trees),2575119733-55268.JPG,1486,wood,0
2238569545,2018.0,10.0,7.0,DK,Lynæs,16778.0,Melampsora populnea (Pers.) P.Karst.,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Melampsoraceae,Melampsora,populnea,SPECIES,Melampsora populnea,DNK,Denmark,DNK.1_1,Hovedstaden,DNK.1.17_1,Halsnæs,2238569545-183734,living leaves,Ole Martin,55.952516,11.874813,50.0,natural grassland,2238569545-183734.JPG,913,plant material,0
2237859572,2019.0,3.0,28.0,DK,Ørnbjerg Mølle,17534.0,Nectria cinnabarina (Tode) Fr.,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,cinnabarina,SPECIES,Nectria cinnabarina,DNK,Denmark,DNK.2_1,Midtjylland,DNK.2.18_1,Syddjurs,2237859572-299516,dead wood (including bark),Jørgen Christiansen,56.260349,10.642431,50.0,Forest bog,2237859572-299516.JPG,1020,wood,0
2238346361,2013.0,10.0,14.0,DK,Vallø Storskov,20047.0,Russula puellaris Fr.,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,puellaris,SPECIES,Russula puellaris,DNK,Denmark,DNK.4_1,Sjælland,DNK.4.6_1,Køge,2238346361-235023,soil,Bjørn W. Pedersen,55.38642,12.13915,,coniferous woodland/plantation,2238346361-235023.JPG,1365,jord,0
2237861878,2019.0,5.0,3.0,DK,Ørsholt,30451.0,Lecanora chlarotera Nyl.,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Lecanora,chlarotera,SPECIES,Lecanora chlarotera,DNK,Denmark,DNK.1_1,Hovedstaden,DNK.1.18_1,Helsingør,2237861878-2350,bark of living trees,Margot Nielsen,56.028776,12.511603,50.0,other habitat,2237861878-2350.JPG,812,wood,0
2238559961,2018.0,9.0,17.0,DK,Snogebæk,16111.0,Leccinum scabrum (Bull.) Gray,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Leccinum,scabrum,SPECIES,Leccinum scabrum,DNK,Denmark,DNK.1_1,Hovedstaden,DNK.1.4_1,Bornholm,2238559961-255916,soil,Jan Riis-Hansen,55.031769,15.110736,15.0,Unmanaged coniferous woodland,2238559961-255916.JPG,824,jord,0
